Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-05-24 15:39:40.927642,"[3300263548, 3300263548, 3300263548]",Dense sharing,700,1,0.005,0.009096,39834
2023-05-24 15:39:40.937098,"[3300263548, 3300263548, 3300263548]",Dense,700,1,0.005,0.001285,372
2023-05-24 15:39:41.567435,"[3300263548, 3300263548, 3300263548]",Sparse sharing,700,1,0.005,0.002439,3768
2023-05-24 15:39:41.570208,"[3300263548, 3300263548, 3300263548]",Sparse,700,1,0.005,0.101924,100412
2023-05-24 15:39:42.366541,"[1627200517, 1627200517, 1627200517]",Dense sharing,700,1,0.01,0.008977,39834
2023-05-24 15:39:42.375899,"[1627200517, 1627200517, 1627200517]",Dense,700,1,0.01,0.001254,372
2023-05-24 15:39:43.062501,"[1627200517, 1627200517, 1627200517]",Sparse sharing,700,1,0.01,0.004803,6069
2023-05-24 15:39:43.067773,"[1627200517, 1627200517, 1627200517]",Sparse,700,1,0.01,0.127803,156004
2023-05-24 15:39:43.879134,"[842393866, 842393866, 842393866]",Dense sharing,900,1,0.0001,0.0205,51028
2023-05-24 15:39:43.900070,"[842393866, 842393866, 842393866]",Dense,900,1,0.0001,0.001786,372
2023-05-24 15:39:44.541424,"[842393866, 842393866, 842393866]",Sparse sharing,900,1,0.0001,0.000124,0
2023-05-24 15:39:44.541940,"[842393866, 842393866, 842393866]",Sparse,900,1,0.0001,0.000466,26
2023-05-24 15:39:45.184531,"[2927080757, 2927080757, 2927080757]",Dense sharing,900,1,0.001,0.010762,51034
2023-05-24 15:39:45.195687,"[2927080757, 2927080757, 2927080757]",Dense,900,1,0.001,0.001281,372
2023-05-24 15:39:45.839703,"[2927080757, 2927080757, 2927080757]",Sparse sharing,900,1,0.001,0.00169,1464
2023-05-24 15:39:45.841760,"[2927080757, 2927080757, 2927080757]",Sparse,900,1,0.001,0.078597,44814
2023-05-24 15:39:46.565519,"[1573152110, 1573152110, 1573152110]",Dense sharing,900,1,0.005,0.010704,51025
2023-05-24 15:39:46.576562,"[1573152110, 1573152110, 1573152110]",Dense,900,1,0.005,0.001427,372
2023-05-24 15:39:47.220526,"[1573152110, 1573152110, 1573152110]",Sparse sharing,900,1,0.005,0.002444,3767
2023-05-24 15:39:47.223326,"[1573152110, 1573152110, 1573152110]",Sparse,900,1,0.005,0.099145,100409
2023-05-24 15:39:47.947528,"[1509847165, 1509847165, 1509847165]",Dense sharing,900,1,0.01,0.010638,51026
2023-05-24 15:39:47.958490,"[1509847165, 1509847165, 1509847165]",Dense,900,1,0.01,0.00139,372
2023-05-24 15:39:48.587809,"[1509847165, 1509847165, 1509847165]",Sparse sharing,900,1,0.01,0.003457,7608
2023-05-24 15:39:48.591735,"[1509847165, 1509847165, 1509847165]",Sparse,900,1,0.01,0.135619,193083
2023-05-24 15:39:49.394048,"[2699549144, 2699549144, 2699549144]",Dense sharing,1000,1,0.0001,0.011948,56632
2023-05-24 15:39:49.406410,"[2699549144, 2699549144, 2699549144]",Dense,1000,1,0.0001,0.001426,372
2023-05-24 15:39:50.148428,"[2699549144, 2699549144, 2699549144]",Sparse sharing,1000,1,0.0001,0.000131,0
2023-05-24 15:39:50.148996,"[2699549144, 2699549144, 2699549144]",Sparse,1000,1,0.0001,0.000438,26
2023-05-24 15:39:50.783539,"[3386993942, 3386993942, 3386993942]",Dense sharing,1000,1,0.001,0.011983,56628
2023-05-24 15:39:50.795986,"[3386993942, 3386993942, 3386993942]",Dense,1000,1,0.001,0.001277,372
2023-05-24 15:39:51.483130,"[3386993942, 3386993942, 3386993942]",Sparse sharing,1000,1,0.001,0.001749,1464
2023-05-24 15:39:51.485316,"[3386993942, 3386993942, 3386993942]",Sparse,1000,1,0.001,0.081515,44815
2023-05-24 15:39:52.257037,"[2514830971, 2514830971, 2514830971]",Dense sharing,1000,1,0.005,0.022379,56624
2023-05-24 15:39:52.279879,"[2514830971, 2514830971, 2514830971]",Dense,1000,1,0.005,0.001877,372
2023-05-24 15:39:52.925501,"[2514830971, 2514830971, 2514830971]",Sparse sharing,1000,1,0.005,0.00262,4534
2023-05-24 15:39:52.928481,"[2514830971, 2514830971, 2514830971]",Sparse,1000,1,0.005,0.105715,118945
2023-05-24 15:39:53.663650,"[2778115948, 2778115948, 2778115948]",Dense sharing,1000,1,0.01,0.022746,56616
2023-05-24 15:39:53.686837,"[2778115948, 2778115948, 2778115948]",Dense,1000,1,0.01,0.001779,372
2023-05-24 15:39:54.410364,"[2778115948, 2778115948, 2778115948]",Sparse sharing,1000,1,0.01,0.003705,8375
2023-05-24 15:39:54.414529,"[2778115948, 2778115948, 2778115948]",Sparse,1000,1,0.01,0.141005,211614
2023-05-24 15:39:55.248499,"[564489352, 564489352, 564489352]",Dense sharing,3000,1,0.0001,0.033415,168617
2023-05-24 15:39:55.282327,"[564489352, 564489352, 564489352]",Dense,3000,1,0.0001,0.001585,372
2023-05-24 15:39:55.977385,"[564489352, 564489352, 564489352]",Sparse sharing,3000,1,0.0001,0.000119,0
2023-05-24 15:39:55.977866,"[564489352, 564489352, 564489352]",Sparse,3000,1,0.0001,0.000565,26
2023-05-24 15:39:56.696376,"[716954106, 716954106, 716954106]",Dense sharing,3000,1,0.001,0.033894,168609
2023-05-24 15:39:56.730670,"[716954106, 716954106, 716954106]",Dense,3000,1,0.001,0.001572,372
2023-05-24 15:39:57.427776,"[716954106, 716954106, 716954106]",Sparse sharing,3000,1,0.001,0.002191,3334
2023-05-24 15:39:57.430311,"[716954106, 716954106, 716954106]",Sparse,3000,1,0.001,0.112588,94229
2023-05-24 15:39:58.172946,"[2893262029, 2893262029, 2893262029]",Dense sharing,3000,1,0.005,0.064755,168612
2023-05-24 15:39:58.238169,"[2893262029, 2893262029, 2893262029]",Dense,3000,1,0.005,0.002412,372
2023-05-24 15:39:58.866028,"[2893262029, 2893262029, 2893262029]",Sparse sharing,3000,1,0.005,0.0048,13895
2023-05-24 15:39:58.871173,"[2893262029, 2893262029, 2893262029]",Sparse,3000,1,0.005,0.219129,344826
2023-05-24 15:39:59.716204,"[708770314, 708770314, 708770314]",Dense sharing,3000,1,0.01,0.034778,168611
2023-05-24 15:39:59.751493,"[708770314, 708770314, 708770314]",Dense,3000,1,0.01,0.002294,372
2023-05-24 15:40:00.478751,"[708770314, 708770314, 708770314]",Sparse sharing,3000,1,0.01,0.007801,27091
2023-05-24 15:40:00.486913,"[708770314, 708770314, 708770314]",Sparse,3000,1,0.01,0.317437,658069
2023-05-24 15:40:01.515876,"[2396661837, 2396661837, 2396661837]",Dense sharing,5000,1,0.0001,0.05459,280631
2023-05-24 15:40:01.570934,"[2396661837, 2396661837, 2396661837]",Dense,5000,1,0.0001,0.001805,372
